Geographical District Code,Borough,Building Code,Location Code,School DBN,Unnamed: 5,School Name,Grades Served,Pre-K,Address,Accessibility Description,BAP Rating
7,Bronx,X040,X179,07X179,,P.S. 179,Elementary,Yes,468 East 140 Street,Partially Accessible,1 out of 10
7,Bronx,X040,X352,75X352,,The Vida Bogart School for All Children,K-8,Yes,468 East 140 Street,Partially Accessible,1 out of 10
7,Bronx,X040,X369,07X369,,Young Leaders Elementary School,Elementary,Yes,468 East 140 Street,Partially Accessible,1 out of 10
7,Bronx,X065,X065,07X065,,P.S. 065 Mother Hale Academy,Elementary,Yes,677 East 141 Street,Partially Accessible,6 out of 10
7,Bronx,X065,X491,84X491,,Academic Leadership Charter School,K-8,,677 East 141 Street,Partially Accessible,6 out of 10
7,Bronx,X151,X031,07X031,,P.S./M.S. 031 The William Lloyd Garrison,K-8,Yes,250 East 156 Street,Partially Accessible,6 out of 10
7,Bronx,X151,X168,75X168,,P.S. 168,K-12 all grades,Yes,250 East 156 Street,Partially Accessible,6 out of 10
7,Bronx,X151,X704,84X704,,KIPP Academy Charter School,K-12 all grades,,250 East 156 Street,Partially Accessible,6 out of 10
7,Bronx,X155,X491,84X491,,Academic Leadership Charter School,K-8,,470 Jackson Avenue,Partially Accessible,4 out of 10
7,Bronx,X155,X615,84X615,,University Prep Charter Middle School,Junior High-Intermediate-Middle,,470 Jackson Avenue,Partially Accessible,4 out of 10
7,Bronx,X155,X754,75X754,,J. M. Rapport School Career Development,High school,,470 Jackson Avenue,Partially Accessible,4 out of 10
7,Bronx,X156,X017,75X017,,P.S. X017,K-12 all grades,,750 Concourse Village West,Fully Accessible,9 out of 10
7,Bronx,X156,X359,07X359,,Concourse Village Elementary School,Elementary,Yes,750 Concourse Village West,Fully Accessible,9 out of 10
7,Bronx,X156,X389,84X389,,Bronx Global Learning Institute for Girls Charter School,K-8,,750 Concourse Village West,Fully Accessible,9 out of 10
7,Bronx,X161,X017,75X017,,P.S. X017,K-12 all grades,,628 Tinton Avenue,Fully Accessible,9 out of 10
7,Bronx,X161,X161,07X161,,P.S. 161 Juan Ponce De Leon School,Elementary,Yes,628 Tinton Avenue,Fully Accessible,9 out of 10
7,Bronx,X162,X010,75X010,,P.S. X010,K-12 all grades,Yes,600 Saint Ann'S Avenue,Partially Accessible,5 out of 10
7,Bronx,X162,X393,84X393,,University Prep Charter High School,High school,,600 Saint Ann'S Avenue,Partially Accessible,5 out of 10
7,Bronx,X162,X500,07X500,,Hostos-Lincoln Academy of Science,Secondary School,,600 Saint Ann'S Avenue,Partially Accessible,5 out of 10
7,Bronx,X162,X584,07X584,,I.S. 584,Junior High-Intermediate-Middle,,600 Saint Ann'S Avenue,Partially Accessible,5 out of 10
7,Bronx,X183,X168,75X168,,P.S. 168,K-12 all grades,Yes,339 Morris Avenue,Partially Accessible,7 out of 10
7,Bronx,X183,X493,84X493,,Success Academy Charter School - Bronx 1,Elementary,,339 Morris Avenue,Partially Accessible,7 out of 10
7,Bronx,X183,X551,07X551,,The Urban Assembly Bronx Academy of Letters,Secondary School,,339 Morris Avenue,Partially Accessible,7 out of 10
7,Bronx,X184,X017,75X017,,P.S. X017,K-12 all grades,,778 Forest Avenue,Partially Accessible,1 out of 10
7,Bronx,X184,X296,07X296,,South Bronx Academy for Applied Media,Junior High-Intermediate-Middle,,778 Forest Avenue,Partially Accessible,1 out of 10
7,Bronx,X184,X298,07X298,,Academy of Public Relations,Junior High-Intermediate-Middle,,778 Forest Avenue,Partially Accessible,1 out of 10
7,Bronx,X184,X379,07X379,,Jill Chaifetz Transfer High School,High school,,778 Forest Avenue,Partially Accessible,1 out of 10
7,Bronx,X184,X754,75X754,,J. M. Rapport School Career Development,High school,,778 Forest Avenue,Partially Accessible,1 out of 10
7,Bronx,X600,X381,07X381,,Bronx Haven High School,High school,,333 East 151 Street,Partially Accessible,3 out of 10
7,Bronx,X600,X522,07X522,,Bronx Design and Construction Academy,High school,,333 East 151 Street,Partially Accessible,3 out of 10
7,Bronx,X600,X600,07X600,,Alfred E. Smith Career and Technical Education High School,High school,,333 East 151 Street,Partially Accessible,3 out of 10
7,Bronx,X655,X259,07X259,,"H.E.R.O. High (Health, Education, and Research Occupations High School)",High school,,455 Southern Blvd,Partially Accessible,1 out of 10
7,Bronx,X655,X557,07X557,,Mott Haven Community High School,High school,,455 Southern Blvd,Partially Accessible,1 out of 10
7,Bronx,X790,X188,75X188,,P.S. X188,K-12 all grades,Yes,730 Concourse Village West,Fully Accessible,10 out of 10
7,Bronx,X790,X527,07X527,,Bronx Leadership Academy II High School,High school,,730 Concourse Village West,Fully Accessible,10 out of 10
7,Bronx,X790,X548,07X548,,Careers in Sports High School,High school,,730 Concourse Village West,Fully Accessible,10 out of 10
7,Bronx,X790,X625,07X625,,Bronx Legacy High School,High school,,730 Concourse Village West,Fully Accessible,10 out of 10
7,Bronx,X790,X704,84X704,,KIPP Academy Charter School,K-12 all grades,,730 Concourse Village West,Fully Accessible,10 out of 10
7,Bronx,X884,X427,07X427,,Community School for Social Justice,High school,,350 Gerard Avenue,Fully Accessible,10 out of 10
7,Bronx,X884,X670,07X670,,Health Opportunities High School,High school,,350 Gerard Avenue,Fully Accessible,10 out of 10
8,Bronx,X014,X014,08X014,,P.S. X014 Senator John Calandra,Elementary,Yes,3047 Bruckner Boulevard,Partially Accessible,8 out of 10
8,Bronx,X036,X036,08X036,,P.S. 036 Unionport,Elementary,Yes,1070 Castle Hill Avenue,Fully Accessible,9 out of 10
8,Bronx,X048,X048,08X048,,P.S. 048 Joseph R. Drake,Elementary,Yes,1290 Spofford Avenue,Fully Accessible,9 out of 10
8,Bronx,X052,X302,08X302,,M.S. 302 Luisa Dessus Cruz,Junior High-Intermediate-Middle,,681 Kelly Street,Partially Accessible,1 out of 10
