ATS,Location Code,Location Name,Latitude,Longitude,ATS System Code,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Community School Sup Name,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,HighSchool Network Superintendent Email,BCO Location Code,in_LCGMS,geometry,BAP Rating,Accessibility Description,BAP Full URL,accessibility_match_status
15K001,K001,P.S. 001 The Bergen,40.648959,-74.01142,15K001,331500010001.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1965,Open,K001,309 47 STREET,BROOKLYN,NY,11220.0,3007550022.0,8000.0,307.0,38.0,BK32,Sunset Park West,WANDA RAMIREZ,Acting Principal,718-567-7661,718-567-9771,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8238913.587300001 4960700.272200003),N/A,No Accessibility,TBD,Complete (Raw Backup)
17K002,K002,Parkside Preparatory Academy,40.656423,-73.951575,17K002,331700010002.0,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1994,Open,K002,655 Parkside Avenue,Brooklyn,NY,11226.0,3050500051.0,80200.0,309.0,40.0,BK60,Prospect Lefferts Gardens-Wingate,Arlene Burnett,Principal,718-462-6992,718-284-7717,17.0,17.0,K817,COMMUNITY SCHOOL DISTRICT 17,SHENEAN LINDSAY,,,,,KFSS,True,POINT (-8232251.6724 4961795.459700003),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ERQlDwTKeYZNu495TGdQELUBVtk0i-g3-zNCTHkYxx3fBA,Complete (Current)
13K003,K003,P.S. 003 The Bedford Village,40.682311,-73.955219,13K003,331300010003.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1950,Open,K003,50 Jefferson Avenue,Brooklyn,NY,11216.0,3019980001.0,22700.0,303.0,36.0,BK69,Clinton Hill,KRISTINA BEECHER,Principal,718-622-2960,718-623-3193,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8232657.320599999 4965594.937799998),N/A,No Accessibility,TBD,Complete (Raw Backup)
75K004,K004,P.S. K004,40.6585,-73.879276,75K004,307500013004.0,DOE,Special Education,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06,07,SE",Jul 1 1999,Open,K273,923 JEROME STREET,BROOKLYN,NY,11207.0,3044010001.0,107800.0,305.0,42.0,BK82,East New York,Ashley Hodge,Principal,718-272-7555,718-272-7554,19.0,75.0,DA75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",,,,,D075,True,POINT (-8224203.384500001 4962100.238300003),N/A,No Accessibility,TBD,Complete (Raw Backup)
16K005,K005,P.S. 005 Dr. Ronald McNair,40.685241,-73.92197,16K005,331600010005.0,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1966,Open,K005,820 HANCOCK STREET,BROOKLYN,NY,11233.0,3014900001.0,37700.0,303.0,41.0,BK35,Stuyvesant Heights,LENA GATES,Principal,718-218-2444,718-218-2445,16.0,16.0,K816,COMMUNITY SCHOOL DISTRICT 16,FABAYO MCINTOSH,,,,,KFSN,True,POINT (-8228956.058800001 4966025.055100001),2.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EX_vvqjHb85NjxwUlpxQvksBwf9oiR4VAjk5O6g4uvpgog,Complete (Current)
17K006,K006,Norma Adams Clemons Academy,40.648973,-73.956279,17K006,331700010006.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1993,Open,K006,43 SNYDER AVENUE,BROOKLYN,NY,11226.0,3051030079.0,79400.0,314.0,40.0,BK95,Erasmus,Sharon Porter,Principal,718-856-6560,718-856-7493,17.0,17.0,K817,COMMUNITY SCHOOL DISTRICT 17,SHENEAN LINDSAY,,,,,KFSS,True,POINT (-8232775.3192 4960702.326300003),9.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Ea3P_PBBuxJKiRoHzGXUv6UBDhQApSTiWdYLEEvqjn02uw,Complete (Current)
19K007,K007,P.S. 007 Abraham Lincoln,40.689213,-73.872983,19K007,331900010007.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,K007,858 JAMAICA AVENUE,BROOKLYN,NY,11208.0,3041060039.0,118201.0,305.0,37.0,BK83,Cypress Hills-City Line,Andre Barrett,Principal,718-647-3600,718-827-4004,19.0,19.0,K819,COMMUNITY SCHOOL DISTRICT 19,TAMRA COLLINS,,,,,KFSN,True,POINT (-8223502.8509 4966608.165799998),10.0,Fully Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ES2EbSMoiZVCj67TLmX8_wcBynLlDpVlninta8q6e4hF9g,Complete (Current)
13K008,K008,The Emily Warren Roebling School,40.700709,-73.992841,13K008,331300010008.0,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1907,Open,K008,37 HICKS STREET,BROOKLYN,NY,11201.0,3002110001.0,100.0,302.0,33.0,BK09,Brooklyn Heights-Cobble Hill,Patricia Peterson,Principal,718-834-6740,718-834-7690,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8236845.3825 4968296.035700001),8.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/EcND188ZkchEshtucoTZg3sB7czYG_t6oQPsivH0QBpU5g,Complete (Current)
13K009,K009,Public School 9 The Sarah Smith Garnet School,40.678554,-73.966333,13K009,331300010009.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1957,Open,K009,80 UNDERHILL AVENUE,BROOKLYN,NY,11238.0,3011450026.0,20500.0,308.0,35.0,BK64,Prospect Heights,Sha wond Williams Credle,Principal,718-638-3260,718-622-2961,13.0,13.0,K813,COMMUNITY SCHOOL DISTRICT 13,MEGHAN DUNN,,,,,KFSN,True,POINT (-8233894.5254 4965043.446400002),1.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/ES-enaRMyoZFga_Kh44JFj4Bs28QhcLCIrngVNoYr_UXAg,Complete (Current)
15K010,K010,"Magnet School of Math, Science and Design Technolo",40.660912,-73.985946,15K010,331500010010.0,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1930,Open,K010,511 7 AVENUE,BROOKLYN,NY,11215.0,3008690001.0,14900.0,307.0,38.0,BK37,Park Slope-Gowanus,LAURA SCOTT,Principal,718-965-1190,718-369-1736,15.0,15.0,K815,COMMUNITY SCHOOL DISTRICT 15,"ALVAREZ, RAFAEL",,,,,KFSN,True,POINT (-8236077.8346 4962454.1866),3.0,Partially Accessible,https://nycdoe.sharepoint.com/:w:/s/BAP/Ebs-bh8RaCJOmSxBGdowP8oBjsLaa3CpyDVRZs5j_AAC6w,Complete (Current)
